,price
0,42229.20635428707
1,298.10685146837113
2,7241.52373607013
3,12505.898534802438
4,549.5301220052355
5,1955.7305797537679
6,5124.225216641187
7,9082.642099069133
8,2516.4906833937534
9,2079.7285201773607
10,842.0259942267318
11,6843.757637828501
12,2487.315842057438
13,13885.741412695781
14,13109.804847438249
15,273.0349757484869
16,6455.715178386449
17,11335.953774701513
18,1278.664301241992
19,4747.011921247901
20,12941.18298538662
21,1405.0043918104918
22,18583.68506001028
23,6730.451665637623
24,1198.5132029013348
25,26178.608397662814
26,19205.07540153536
27,4653.580298218886
28,3095.353152823766
29,7528.135516201049
30,3644.2495173720195
31,31214.130194028126
32,1807.5907866648795
33,14696.284307972646
34,3992.007350450075
35,15954.06138809533
36,29871.392103263228
37,8229.048959001431
38,1454.1440233895896
39,2896.9160739499416
40,48662.92365130614
41,1173.4151731367597
42,40181.14507192432
43,5318.1400837257515
44,10080.250321443247
45,935.2311618338841
46,16481.02787141304
47,3735.8626182533408
48,814.8580880337839
49,2479.6967464978197
50,1112.2759519778183
51,2127.9671991743207
52,9394.763386831153
53,3353.254359832455
54,877.946667897932
55,12123.242629641454
56,23162.270804279688
57,9761.542569222847
58,15879.770911084093
59,3621.961019231987
60,751.4253458407464
61,2977.5767957534003
62,1618.7855439964792
63,542.1371186488162
64,27227.740192243444
65,217.0870518945203
66,1038.6620794471835
67,1975.6003059654513
68,6270.472223647775
69,2956.239034906649
70,9200.895649675782
71,16440.8507285356
72,432.0228763543248
73,3984.396900377334
74,3506.277862290273
75,43381.66097405927
76,264.33986911476103
77,2950.3463709328435
78,2869.0048862711064
79,7446.690096230788
80,7371.556427596198
81,714.4560555815876
82,12011.840898335045
83,134.6531553554363
84,16224.764209276187
85,9444.003888612617
86,4915.584861547361
87,1569.8269006959595
88,2657.0286071851156
89,4395.6489492465535
90,877.1294124766669
91,2703.5092655464887
92,583.0613400758438
93,8563.560940988225
94,1992.8318108003034
95,3198.6469356737007
96,11732.796111978214
97,15210.355320189181
98,1174.5470904414242
99,798.2056097856746
100,2314.554319397803
101,6441.374272360773
102,2748.4285877983966
103,20329.534042563624
104,10569.96540549207
105,17805.290463073834
106,1304.1249586163208
107,7610.890810665944
108,56.16780913265171
109,13986.018316885371
110,4350.343584811751
111,2210.7256803870837
112,14006.824362020612
113,40754.86085123012
114,2930.4643196167067
115,3337.081767950215
116,6779.94133370117
117,17988.964049658982
118,1277.630267071357
119,2948.634782699709
120,5651.540257797405
121,827.5977991173803
122,1266.3271673993274
123,1891.54296215226
124,10235.84664574219
125,6387.073965101284
126,706.3919934160947
127,1807.4069305694159
128,7419.35212529359
129,2274.8322491679164
130,665.4961644791204
131,3904.9601011650666
132,7684.213772574547
133,460.2080053549893
134,24355.03089904661
135,2744.533791235428
136,299.5204239965322
137,1180.6949885280455
138,6895.780705834142
139,48401.64022571066
140,709.687527739258
141,712.2299850475838
142,5559.815871872402
143,6355.498661631056
144,2333.522179334499
145,4383.34476006784
146,1705.1828163400855
147,3000.6109070610055
148,4106.650082904031
149,1884.326760978336
150,6788.002744102901
151,2352.723353927195
152,544.0422659045379
153,25542.517396778898
154,198.9874745289244
155,1726.8526336481727
156,3240.881468163979
157,929.0610392420119
158,1208.9800946040914
159,7033.032934076806
160,1130.484775297421
161,640.2901656592517
162,9500.565315559063
163,2283.908603481926
164,13993.835003906044
165,2401.9729884376557
166,5071.698601546858
167,6118.626590202116
168,79.88250575848348
169,1936.2607854926318
170,3611.412489393027
171,17028.0728796198
172,715.0394512746286
173,23053.991881652175
174,3398.7401002162433
175,3785.332746095041
176,2850.958844243533
177,2568.8009035614223
178,9556.85822507404
179,2105.9652025440946
180,3773.2649528327756
181,1016.4258152719409
182,14635.087020251594
183,1383.8330586591537
184,1185.1541343498727
185,1855.870230181555
186,5876.443025690503
187,8603.678826443685
188,10248.407202624676
189,1067.6200485451782
190,3838.295197259869
191,121.12131118173414
192,31791.381015491537
193,2692.8103199725606
194,10334.28929723106
195,13155.19644794325
196,10410.879354033548
197,973.3543801310049
198,3145.799333821675
199,532.8299836721043
200,667.9471566500204
201,4125.790769188876
202,583.804454348302
203,805.314198561604
204,786.9874641269472
205,5420.661783081768
206,11043.088648523331
207,1681.258884524549
208,778.6848628095912
209,2734.6285958728186
210,655.8628479743667
211,1695.4576716266472
212,1082.0199442938554
213,8839.390706008764
214,1280.471589269334
215,8190.596162200327
216,2223.73883079833
217,237.5115306371856
218,2418.482811699886
219,1944.629481704981
220,2853.2235813987304
221,783.2539727638781
222,2115.2002625418972
223,711.3347752327904
224,855.191665307496
225,16622.489456471765
226,1527.2826037480115
227,4560.71297703667
228,11436.740058838765
229,8336.56395796768
230,9931.496044660194
231,1806.0116686753101
232,11447.703683427044
233,2220.1953185290736
234,551.6352290590164
235,4903.799256890506
236,743.1518608404431
237,488.8922458592952
238,5541.279409598751
239,1193.3133514429119
240,9312.235555934853
241,1091.1851550828794
242,4245.251618647637
243,32998.34710437885
244,31969.484361532865
245,640.3605439055718
246,75.88410807794943
247,2023.8488554292676
